Symbol,Name,IndustryCode,Industry
601288,Agricultural Bank of China Ltd Class A,55101010,은행
601398,Industrial and Commercial Bank of China Ltd Class A,55101010,은행
601857,PetroChina Co Ltd Class A,50102010,통합 오일 및 가스
600519,Kweichow Moutai Co.  Ltd. Class A,54101020,증류주 및 포도주
601988,Bank of China Ltd Class A,55101010,은행
601138,Foxconn Industrial Internet Co Ltd Class A,57102010,통신 및 네트워킹
601088,China Shenhua Energy Co Ltd Class A,50101010,석탄
600036,China Merchants Bank Co Ltd Class A,55101010,은행
601628,China Life Insurance Co Ltd Class A,55301030,생명 및 건강 보험
688256,Cambricon Technologies Corp Ltd Class A,57101010,반도체
600900,China Yangtze Power Co Ltd Class A,59101010,전력 유틸리티
688041,Hygon Information Technology Co Ltd Class A,57101010,반도체
601899,Zijin Mining Group Co Ltd Class A,51201060,금
601318,Ping An Insurance (Group) Company of China  Ltd. Class A,55301030,생명 및 건강 보험
601728,China Telecom Corp Ltd Class A,57401010,통합 통신 서비스
601658,Postal Savings Bank of China Co Ltd Class A,55101010,은행
600028,China Petroleum and Chemical Corporation Class A,50102030,"오일, 가스 정제 및 마케팅"
603259,WuXi AppTec Co.  Ltd. Class A,56202010,생명 공학 및 의학 연구
601166,Industrial Bank Co Ltd Class A,55101010,은행
601328,Bank of Communications Co Ltd Class A,55101010,은행
688012,Advanced Micro-Fabrication Equipment Inc China Class A,57101020,반도체 장비 및 테스트
600183,Shengyi Technology Co Ltd Class A,57104010,전자 장비 및 부품
600276,Jiangsu Hengrui Pharmaceuticals Co Ltd Class A,56201040,제약
600030,CITIC Securities Company Limited Class A,55102010,투자 은행 및 중개 서비스
688981,Semiconductor Manufacturing International Corp Class A,57101010,반도체
603993,CMOC Group Limited Class A,51201050,특수 채굴 및 금속
601998,China Citic Bank Corp Ltd Class A,55101010,은행
600000,Shanghai Pudong Development Bank Co.  Ltd. Class A,55101010,은행
603986,GigaDevice Semiconductor Inc Class A,57101010,반도체
601211,Guotai Haitong Securities Co Ltd Class A,55102010,투자 은행 및 중개 서비스
600150,China CSSC Holdings Ltd Class A,52102050,조선
601319,People's Insurance Company Group of China Ltd Class A,55301020,손해보험
601816,Beijing-Shanghai High Speed Railway Co Ltd Class A,52407030,고속도로 및 철도
601225,Shaanxi Coal Industry Co Ltd Class A,50101010,석탄
688008,Montage Technology Co.  Ltd. Class A,57101010,반도체
600309,Wanhua Chemical Group Co Ltd Class A,51101010,상품 화학
601939,China Construction Bank Corp Class A,55101010,은행
600919,Bank of Jiangsu Co Ltd Class A,55101010,은행
601601,China Pacific Insurance (Group) Co.  Ltd. Class A,55301030,생명 및 건강 보험
603288,Foshan Haitian Flavouring and Food Co Ltd Class A,54102020,식품 가공
688072,Piotech Inc Class A,57101020,반도체 장비 및 테스트
601919,COSCO Shipping Holdings Co Ltd Class A,52405020,해양 화물 및 물류
600406,NARI Technology Co Ltd Class A,57201010,IT 서비스 및 컨설팅
688498,Yuanjie Semiconductor Technology Co Ltd Class A,57101010,반도체
601668,China State Construction Engineering Corp Ltd Class A,52201020,건설 및 엔지니어링
601985,China National Nuclear Power Co Ltd Class A,59101020,민자 발전 사업
600025,Huaneng Lancang River Hydropower Inc Class A,59101020,민자 발전 사업
603268,Guangdong Songfa Ceramics Co Ltd Class A,52102050,조선
601066,China Securities Co Ltd Class A,55102010,투자 은행 및 중개 서비스
600176,China Jushi Co Ltd Class A,51202010,건설 자재
600989,Ningxia Baofeng Energy Group Co Ltd Class A,51101010,상품 화학
688702,Suzhou Centec Communications Co Ltd Class A,57101010,반도체
600887,Inner Mongolia Yili Industrial Group Co.  Ltd. Class A,54102020,식품 가공
600031,Sany Heavy Industry Co Ltd Class A,52102020,중장비 및 차량
688146,Peric Special Gases Co Ltd Class A,51101010,상품 화학
600809,Shanxi Xinghuacun Fen Wine Factory Co Ltd Class A,54101020,증류주 및 포도주
600111,China Northern Rare Earth (Group) High-Tech Co Ltd Class A,51201010,금 제외 귀금속 및 광물
688082,ACM Research (Shanghai) Inc Class A,57101020,반도체 장비 및 테스트
601766,Crrc Corp Ltd Class A,52102020,중장비 및 차량
600487,Hengtong Optic-Electric Co Ltd Class A,57102010,통신 및 네트워킹
601688,Huatai Securities Co.  Ltd. Class A,55102010,투자 은행 및 중개 서비스
601100,Jiangsu Hengli Hydraulic Co.  Ltd. Class A,52102010,산업용 기계 및 장비
601818,China Everbright Bank Co Ltd Class A,55101010,은행
600584,JCET Group Co Ltd Class A,57101010,반도체
601009,Bank of Nanjing Co Ltd Class A,55101010,은행
601872,China Merchants Energy Shipping Co Ltd Class A,52405020,해양 화물 및 물류
603256,Grace Fabric Technology Co Ltd Class A,57104010,전자 장비 및 부품
601869,Yangtze Optical Fibre and Cable Joint Stock Ltd Co Class A,57102010,통신 및 네트워킹
600690,Haier Smart Home Co Ltd Class A,53204030,"가전제품, 도구 및 가정 용품"
600999,China Merchants Securities Co Ltd Class A,55102010,투자 은행 및 중개 서비스
600050,China United Network Communications Ltd Class A,57401010,통합 통신 서비스
601229,Bank of Shanghai Co Ltd Class A,55101010,은행
603019,Dawning Information Industry Co Ltd Class A,57106010,컴퓨터 하드웨어
688120,Hwatsing Technology Co Ltd Class A,57101020,반도체 장비 및 테스트
600188,Yankuang Energy Group Company Limited Class A,50101010,석탄
688506,Sichuan Biokin Pharmaceutical Co.  Ltd. Class A,56201040,제약
601898,China Coal Energy Co Ltd Class A,50101010,석탄
600760,Avic Shenyang Aircraft Co Ltd Class A,52101010,항공우주 및 방위
601600,Aluminum Corporation of China Ltd Class A,51201030,알루미늄
600019,Baoshan Iron & Steel Co Ltd Class A,51201020,철 및 강철
600016,China Minsheng Banking Corp Ltd Class A,55101010,은행
603296,Huaqin Co. Ltd. Class A,57106010,컴퓨터 하드웨어
601336,New China Life Insurance Co Ltd Class A,55301030,생명 및 건강 보험
600346,Hengli Petrochemical Co Ltd Class A,51101010,상품 화학
600018,Shanghai International Port (Group) Co.  Ltd. Class A,52407020,항만 운영 및 서비스
688361,Skyverse Technology Co Ltd Class A,52102010,산업용 기계 및 장비
688111,Beijing Kingsoft Office Software  Inc. Class A,57201020,소프트웨어
600489,Zhongjin Gold Corp Ltd Class A,51201060,금
600926,Bank of Hangzhou Co Ltd Class A,55101010,은행
