Symbol,Name,IndustryCode,Industry
300750,Contemporary Amperex Technology Co.  Limited Class A,52102030,전기 부품 및 장비
300308,Zhongji Innolight Co.  Ltd. Class A,57102010,통신 및 네트워킹
300502,Eoptolink Technology Inc.  Ltd. Class A,57104010,전자 장비 및 부품
000333,Midea Group Co.  Ltd. Class A,53204030,"가전제품, 도구 및 가정 용품"
002371,Naura Technology Group Co Ltd Class A,57101020,반도체 장비 및 테스트
002594,BYD Company Limited Class A,53101010,자동차 및 트럭 제조
002475,Luxshare Precision Industry Co Ltd Class A,57104010,전자 장비 및 부품
002384,Suzhou Dongshan Precision Manufacturing Co Ltd Class A,57101010,반도체
002415,Hangzhou Hikvision Digital Technology Co Ltd Class A,57102010,통신 및 네트워킹
300059,East Money Information Co Ltd Class A,55102010,투자 은행 및 중개 서비스
000858,Wuliangye Yibin Co Ltd Class A,54101020,증류주 및 포도주
300394,Suzhou TFC Optical Communication Co.  Ltd. Class A,57104010,전자 장비 및 부품
002379,Shandong Hongqiao Aluminum Industry Holding Co Ltd Class A,51201030,알루미늄
002916,Shennan Circuits Co Ltd Class A,57101010,반도체
300408,Chaozhou Three-circle (Group) Co Ltd Class A,57104010,전자 장비 및 부품
300274,Sungrow Power Supply Co Ltd Class A,50201010,재생 가능 에너지 장비 및 서비스
300476,Victory Giant Technology (HuiZhou) Co Ltd Class A,57101010,반도체
002463,WUS Printed Circuit (Kunshan) Co.  Ltd. Class A,57101010,반도체
000651,Gree Electric Appliances  Inc. of Zhuhai Class A,53204030,"가전제품, 도구 및 가정 용품"
002938,Avary Holding Shenzhen Co Ltd Class A,57101010,반도체
002714,Muyuan Foods Group Co Ltd Class A,54102010,어업 및 농업
000001,Ping An Bank Co Ltd Class A,55101010,은행
002142,Bank of Ningbo Co Ltd Class A,55101010,은행
000725,BOE Technology Group Co Ltd Class A,57104010,전자 장비 및 부품
000338,Weichai Power Co Ltd Class A,53101020,"자동차, 트럭 및 오토바이 부품"
300760,Shenzhen Mindray Bio-Medical Electronics Co.  Ltd. Class A,56101010,첨단 의료 장비 및 기술
301377,Guangdong Dtech Technology Co Ltd Class A,52102010,산업용 기계 및 장비
300604,Hangzhou Changchuan Technology Co Ltd Class A,57101020,반도체 장비 및 테스트
300033,Hithink RoyalFlush Information Network Co.  Ltd. Class A,57301010,핀테크
300433,Lens Technology Co.  Ltd. Class A,57104010,전자 장비 및 부품
301308,Shenzhen Longsys Electronics Co Ltd Class A,57101010,반도체
300124,Shenzhen Inovance Technology Co Ltd Class A,52102030,전기 부품 및 장비
301165,Ruijie Networks Co Ltd Class A,57401010,통합 통신 서비스
002352,S.F. Holding Co Ltd Class A,52405010,"배달, 우편, 항공 화물 및 육상 물류"
003816,CGN Power Co Ltd Class A,59101020,민자 발전 사업
302132,AVIC Chengdu Aircraft Co Ltd Class A,52102030,전기 부품 및 장비
002281,Accelink Technologies Co Ltd Class A,57104010,전자 장비 및 부품
000657,China Tungsten and Hightech Materials Co Ltd Class A,51201050,특수 채굴 및 금속
002353,Yantai Jereh Oilfield Services Group Co Ltd Class A,50103020,오일 관련 서비스 및 장비
000792,Qinghai Yanhu Industry Co Ltd Class A,51101020,농화학제
002050,Zhejiang Sanhua Intelligent Controls Co Ltd Class A,52102010,산업용 기계 및 장비
000063,ZTE Corp Class A,57102010,통신 및 네트워킹
301526,Chongqing Polycomp International Corp Class A,51101010,상품 화학
300999,Yihai Kerry Arawana Holdings Co Ltd Class A,54102020,식품 가공
000568,Luzhou Laojiao Co Ltd Class A,54101020,증류주 및 포도주
002028,Sieyuan Electric Co Ltd Class A,52102030,전기 부품 및 장비
001280,China National Uranium Co Ltd Class A,50301010,우라늄
002493,Rongsheng Petrochemical Co Ltd Class A,51101010,상품 화학
000776,GF Securities Co.  Ltd. Class A,55102020,투자 관리 및 펀드 운영
300857,Sharetronic Data Technology Co Ltd Class A,57106010,컴퓨터 하드웨어
301200,Shenzhen Han's Cnc Technology Co Ltd Class A,57101020,반도체 장비 및 테스트
000408,Zangge Mining Co Ltd Class A,51101010,상품 화학
300014,EVE Energy Co.  Ltd. Class A,52102030,전기 부품 및 장비
000977,IEIT SYSTEMS Co Ltd Class A,57106010,컴퓨터 하드웨어
000938,Unisplendour Corp Ltd Class A,57107010,통합 하드웨어 및 소프트웨어
300442,Range Intelligent Computing Technology Group Company Limited Class A,57401010,통합 통신 서비스
000988,HGTECH Co Ltd Class A,57104010,전자 장비 및 부품
000100,TCL Technology Group Corporation Class A,57104010,전자 장비 및 부품
002736,Guosen Securities Co.  Ltd. Class A,55102010,투자 은행 및 중개 서비스
002602,Zhejiang Century Huatong Group Co Ltd Class A,57201020,소프트웨어
000166,Shenwan Hongyuan Group Co Ltd Class A,55102010,투자 은행 및 중개 서비스
002230,iFLYTEK Co Ltd Class A,57201020,소프트웨어
000958,SPIC Industry Finance Holdings Co Ltd Class A,59104010,복합 유틸리티
301217,Anhui Tongguan Copper Foil Group Co Ltd Class A,51201050,특수 채굴 및 금속
002008,Han's Laser Technology Industry Group Co Ltd Class A,52102010,산업용 기계 및 장비
002156,TongFu Microelectronics Co Ltd Class A,57101020,반도체 장비 및 테스트
000425,XCMG Construction Machinery Co.  Ltd. Class A,52102020,중장비 및 차량
002080,Sinoma Science and Technology Co.  Ltd. Class A,51101030,특수 화학제
300498,Wens Foodstuff Group Co.  Ltd. Class A,54102010,어업 및 농업
002600,Lingyi iTech (Guangdong) Co Class A,57104010,전자 장비 및 부품
000538,Yunnan Baiyao Group Co Ltd Class A,56201040,제약
001309,Shenzhen Techwinsemi Technology Co Ltd Class A,57101010,반도체
000807,Yunnan Aluminium Co Ltd Class A,51201030,알루미늄
000617,CNPC Capital Co Ltd Class A,55101010,은행
002001,Zhejiang NHU Co.  Ltd. Class A,54102020,식품 가공
000630,Tongling Nonferrous Metals Group Co Ltd Class A,51201050,특수 채굴 및 금속
002460,Ganfeng Lithium Group Co.  Ltd Class A,51101010,상품 화학
002648,Satellite Chemical Co Ltd Class A,51101010,상품 화학
000895,Henan Shuanghui Investment & Development Co Ltd Class A,54102020,식품 가공
300757,RoboTechnik Intelligent Technology Co Ltd Class A,52102010,산업용 기계 및 장비
000301,Jiangsu Eastern Shenghong Co Ltd Class A,51101010,상품 화학
002128,Inner Mongolia Dian Tou Energy Corp Ltd Class A,51201030,알루미늄
300015,Aier Eye Hospital Group Co Ltd Class A,56102010,의료 시설 및 서비스
001289,China Longyuan Power Group Corp Ltd Class A,59101010,전력 유틸리티
002709,Guangzhou Tinci Materials Technology Co Ltd Class A,51101010,상품 화학
002653,Haisco Pharmaceutical Group Co.  Ltd. Class A,56201040,제약
002241,Goertek Inc. Class A,57104010,전자 장비 및 부품
300620,Advanced Fiber Resources Zhuhai Ltd Class A,52102030,전기 부품 및 장비
002851,Shenzhen Megmeet Electrical Co Ltd Class A,57104010,전자 장비 및 부품
301638,CSG Digital Power Grid Research Institute Co Ltd Class A,57201020,소프트웨어
002027,Focus Media Information Technology Co Ltd Class A,53302010,광고 및 마케팅
002311,Guangdong Haid Group Co Ltd Class A,54102010,어업 및 농업
002179,Jonhon Optronic Technology Co Ltd Class A,57104010,전자 장비 및 부품
300661,SG Micro Corp Class A,57101010,반도체
300475,Shannon Semiconductor Technology Co Ltd Class A,57106010,컴퓨터 하드웨어
002422,Sichuan Kelun Pharmaceutical Co Ltd Class A,56201040,제약
300759,Pharmaron Beijing Co Ltd Class A,56202010,생명 공학 및 의학 연구
002202,Goldwind Science & Technology Co Ltd Class A,50201010,재생 가능 에너지 장비 및 서비스
000636,Guangdong Fenghua Advanced Technology Holding Co Ltd Class A,57104010,전자 장비 및 부품
300054,Hubei Dinglong Co Ltd Class A,51101030,특수 화학제
002409,Jiangsu Yoke Technology Co.  Ltd. Class A,51101010,상품 화학
002837,Shenzhen Envicool Technology Co Ltd Class A,52102010,산업용 기계 및 장비
002466,Tianqi Lithium Corporation Class A,51201050,특수 채굴 및 금속
300285,Shandong Sinocera Functional Material Co Ltd Class A,52102030,전기 부품 및 장비
001389,Delton Technology (Guangzhou) Inc Class A,57101010,반도체
000975,Shanjin International Gold Co Ltd Class A,51201080,다각적 채굴
300666,Konfoong Materials International Co Ltd Class A,57104010,전자 장비 및 부품
000708,CITIC Pacific Special Steel Group Co Ltd Class A,51201020,철 및 강철
001979,China Merchants Shekou Industrial Zone Holdings Co Ltd Class A,60101010,"부동산 임대, 개발 및 운영"
000426,Inner Mongolia Xingye Silver&Tin Mining Co Ltd Class A,51201050,특수 채굴 및 금속
002625,Kuang-Chi Technologies Co Ltd Class A,52101010,항공우주 및 방위
300223,Ingenic Semiconductor Co Ltd Class A,57101010,반도체
002428,Yunnan Lincang Xinyuan Germanium Industry Co Ltd Class A,51201050,특수 채굴 및 금속
300136,Shenzhen Sunway Communication Co Ltd Class A,57104010,전자 장비 및 부품
000703,Hengyi Petrochemical Co Ltd Class A,51101010,상품 화학
300866,Anker Innovations Technology Co Ltd Class A,52102030,전기 부품 및 장비
001965,China Merchants Expressway Network Technology Holdings Co Ltd Class A,52407030,고속도로 및 철도
000021,Shenzhen Kaifa Technology Co Ltd Class A,57106010,컴퓨터 하드웨어
000960,Yunnan Tin Co Ltd Class A,51201050,특수 채굴 및 금속
002532,Tianshan Aluminum Group Co Ltd Class A,51201030,알루미늄
300567,Wuhan Jingce Electronic Group Co Ltd Class A,52102010,산업용 기계 및 장비
002304,Jiangsu Yanghe Distillery Co Ltd Class A,54101020,증류주 및 포도주
000625,Chongqing Changan Automobile Co Ltd Class A,53101010,자동차 및 트럭 제조
002185,Tianshui Huatian Technology Co Ltd Class A,57101020,반도체 장비 및 테스트
002595,Himile Mechanical Science and Technology Shandong Co Ltd Class A,52102010,산업용 기계 및 장비
002414,Wuhan Guide Infrared Co Ltd Class A,52102010,산업용 기계 및 장비
000831,China Rare Earth Resources and Technology Co Ltd Class A,51201050,특수 채굴 및 금속
002436,Shenzhen Fastprint Circuit Tech Co Ltd Class A,57101010,반도체
000933,Henan Shenhuo Coal & Power Co Ltd Class A,51201030,알루미늄
000768,Avic XiAn Aircraft Industry Group Co Ltd Class A,52101010,항공우주 및 방위
