Symbol,Name,IndustryCode,Industry
04338,Microsoft Corporation,57201020,소프트웨어
00700,Tencent Holdings Ltd,57201030,온라인 서비스
80700,Tencent Holdings Ltd,57201030,온라인 서비스
04333,Cisco Systems Inc,57102010,통신 및 네트워킹
00005,HSBC Holdings PLC,55101010,은행
09988,Alibaba Group Holding Ltd,57201030,온라인 서비스
00939,China Construction Bank Corp Class H,55101010,은행
89988,Alibaba Group Holding Ltd,57201030,온라인 서비스
00941,China Mobile Ltd,57401010,통합 통신 서비스
04335,Intel Corp,57101010,반도체
80941,China Mobile Ltd,57401010,통합 통신 서비스
04336,Applied Materials Inc,57101020,반도체 장비 및 테스트
06288,FAST RETAILING CO.  LTD. DRC,53403040,의류 및 액세서리 소매
00883,CNOOC Ltd,50102010,통합 오일 및 가스
04332,Amgen Inc,56201040,제약
80883,CNOOC Ltd,50102010,통합 오일 및 가스
01299,AIA Group Limited,55301030,생명 및 건강 보험
01810,Xiaomi Corporation,57106020,전화 및 소형 장치
81299,AIA Group Limited,55301030,생명 및 건강 보험
01398,Industrial and Commercial Bank of China Ltd Class H,55101010,은행
09999,NetEase  Inc.,57201030,온라인 서비스
02513,Z.AI Co Ltd Class H,57201010,IT 서비스 및 컨설팅
81810,Xiaomi Corporation,57106020,전화 및 소형 장치
00945,Manulife Financial Corporation,55301030,생명 및 건강 보험
03690,Meituan,57201030,온라인 서비스
02388,BOC Hong Kong Holdings Ltd,55101010,은행
02888,Standard Chartered PLC,55101010,은행
00388,Hong Kong Exchanges and Clearing Limited,55102050,"금융, 상품 시장 운영 및 서비스 제공"
83690,Meituan,57201030,온라인 서비스
09633,Nongfu Spring Co Ltd Class H,54101030,무알콜 음료
82388,BOC Hong Kong Holdings Ltd,55101010,은행
80388,Hong Kong Exchanges and Clearing Limited,55102050,"금융, 상품 시장 운영 및 서비스 제공"
03988,Bank of China Ltd Class H,55101010,은행
00992,Lenovo Group Limited,57106010,컴퓨터 하드웨어
02318,Ping An Insurance (Group) Company of China  Ltd. Class H,55301030,생명 및 건강 보험
00981,Semiconductor Manufacturing International Corp,57101010,반도체
80992,Lenovo Group Limited,57106010,컴퓨터 하드웨어
82318,Ping An Insurance (Group) Company of China  Ltd. Class H,55301030,생명 및 건강 보험
00267,CITIC Ltd,55101010,은행
09618,JD.com  Inc. Class A,53402010,백화점
00016,Sun Hung Kai Properties Limited,60101010,"부동산 임대, 개발 및 운영"
02328,PICC Property and Casualty Co Ltd Class H,55301020,손해보험
02259,Zijin Gold International Co Ltd,51201060,금
01211,BYD Company Limited Class H,53101010,자동차 및 트럭 제조
06160,BeOne Medicines AG,56202010,생명 공학 및 의학 연구
89618,JD.com  Inc. Class A,53402010,백화점
09888,Baidu  Inc. Class A,57201030,온라인 서비스
80016,Sun Hung Kai Properties Limited,60101010,"부동산 임대, 개발 및 운영"
81211,BYD Company Limited Class H,53101010,자동차 및 트럭 제조
00001,CK Hutchison Holdings Limited,53403090,기타 전문 소매
02378,Prudential PLC,55301030,생명 및 건강 보험
00669,Techtronic Industries Company Limited,52102010,산업용 기계 및 장비
03328,Bank of Communications Co Ltd Class H,55101010,은행
89888,Baidu  Inc. Class A,57201030,온라인 서비스
01109,China Resources Land Ltd,60101010,"부동산 임대, 개발 및 운영"
09961,Trip.com Group Limited,53301040,여가 및 오락시설
01378,China Hongqiao Group Ltd,51201030,알루미늄
03968,China Merchants Bank Co Ltd Class H,55101010,은행
02899,Zijin Mining Group Co Ltd Class H,51201060,금
02020,ANTA Sports Products Ltd,53202020,의류 및 액세서리
03692,Hansoh Pharmaceutical Group Company Limited,56201040,제약
02628,China Life Insurance Co Ltd Class H,55301030,생명 및 건강 보험
09992,Pop Mart International Group Limited,53403090,기타 전문 소매
00066,MTR Corporation Limited,52406020,지상 및 해상 여객 운송
00857,PetroChina Co Ltd Class H,50102010,통합 오일 및 가스
00002,CLP Holdings Limited,59101010,전력 유틸리티
00175,Geely Automobile Holdings Ltd,53101010,자동차 및 트럭 제조
01347,Hua Hong Grace Semiconductor Ltd,57101010,반도체
00762,China Unicom Hong Kong Ltd,57401020,무선 통신 서비스
02269,WuXi Biologics (Cayman) Inc,56202010,생명 공학 및 의학 연구
01288,Agricultural Bank of China Ltd Class H,55101010,은행
01024,Kuaishou Technology,57201030,온라인 서비스
82020,ANTA Sports Products Ltd,53202020,의류 및 액세서리
01113,CK Asset Holdings Ltd,60101010,"부동산 임대, 개발 및 운영"
80175,Geely Automobile Holdings Ltd,53101010,자동차 및 트럭 제조
01801,Innovent Biologics Inc,56201040,제약
00788,China Tower Corp Ltd Class H,52201020,건설 및 엔지니어링
01038,CK Infrastructure Holdings Ltd,59104010,복합 유틸리티
02423,KE Holdings Inc,60101020,부동산 서비스
00027,Galaxy Entertainment Group Limited,53301030,카지노 및 도박
81024,Kuaishou Technology,57201030,온라인 서비스
00688,China Overseas Land & Investment Ltd,60101010,"부동산 임대, 개발 및 운영"
09973,Chery Automobile Co Ltd Class H,53101010,자동차 및 트럭 제조
01088,China Shenhua Energy Co Ltd Class H,50101010,석탄
03750,Contemporary Amperex Technology Co.  Limited Class H,52102030,전기 부품 및 장비
02057,ZTO Express (Cayman) Inc,52405010,"배달, 우편, 항공 화물 및 육상 물류"
01972,Swire Properties Ltd,60101010,"부동산 임대, 개발 및 운영"
00100,MiniMax Group Inc,57201010,IT 서비스 및 컨설팅
00012,Henderson Land Development Co Ltd,60101010,"부동산 임대, 개발 및 운영"
09987,Yum China Holdings Inc,53301020,레스토랑 및 바
00003,Hong Kong and China Gas Co Ltd,59102010,천연가스 유틸리티
00006,Power Assets Holdings Limited,59101010,전력 유틸리티
06618,JD Health International Inc,54301010,의약품 소매
06990,Sichuan Kelun-Biotech Biopharmaceutical Co Ltd Class H,56202010,생명 공학 및 의학 연구
01929,Chow Tai Fook Jewellery Group Ltd,53202020,의류 및 액세서리
01888,Kingboard Laminates Holdings Ltd,57104010,전자 장비 및 부품
01928,Sands China Ltd,53301030,카지노 및 도박
09903,Shanghai Iluvatar CoreX Semiconductor Co.  Ltd. Class H,57101010,반도체
00998,China Citic Bank Corp Ltd Class H,55101010,은행
01308,SITC International Holdings Co Ltd,52405020,해양 화물 및 물류
03808,Sinotruk Hong Kong Ltd,52102020,중장비 및 차량
01913,Prada S.p.A.,53202020,의류 및 액세서리
01208,MMG Ltd,51201050,특수 채굴 및 금속
86618,JD Health International Inc,54301010,의약품 소매
01698,Tencent Music Entertainment Group,57201030,온라인 서비스
01093,CSPC PHARMACEUTICAL GROUP LIMITED,56201040,제약
00823,Link Real Estate Investment Trust,60102020,상업용 REITs
00288,WH Group Limited,54102020,식품 가공
00386,China Petroleum and Chemical Corporation Class H,50102030,"오일, 가스 정제 및 마케팅"
01179,H World Group Ltd,53301010,"호텔, 모텔 및 크루즈 라인"
02015,Li Auto Inc. Class A,53101010,자동차 및 트럭 제조
02359,WuXi AppTec Co.  Ltd. Class H,56202010,생명 공학 및 의학 연구
