Symbol,Name,IndustryCode,Industry
8306,Mitsubishi UFJ Financial Group  Inc.,55101010,은행
7203,TOYOTA MOTOR CORPORATION,53101010,자동차 및 트럭 제조
9984,SoftBank Group Corp.,57401020,무선 통신 서비스
285A,Kioxia Holdings Corporation,57101010,반도체
8035,Tokyo Electron Limited,57101020,반도체 장비 및 테스트
8316,Sumitomo Mitsui Financial Group  Inc.,55101010,은행
6857,ADVANTEST CORPORATION,57101020,반도체 장비 및 테스트
6501,Hitachi  Ltd.,54401010,소비재 대기업
6098,Recruit Holdings Co Ltd,52203030,고용 서비스
9983,FAST RETAILING CO.  LTD.,53403040,의류 및 액세서리 소매
6758,Sony Group Corporation,57106030,가정용 전자 제품
8411,Mizuho Financial Group  Inc.,55101010,은행
6861,KEYENCE CORPORATION,57104010,전자 장비 및 부품
8058,Mitsubishi Corporation,52202010,다각적 산업용 제품 도매
8001,ITOCHU Corporation,52202010,다각적 산업용 제품 도매
6981,Murata Manufacturing Co.  Ltd.,57104010,전자 장비 및 부품
8766,Tokio Marine Holdings  Inc.,55301020,손해보험
9432,NTT  Inc.,57401010,통합 통신 서비스
7011,Mitsubishi Heavy Industries  Ltd.,54401010,소비재 대기업
2914,JAPAN TOBACCO INC.,54102030,담배
8031,MITSUI & CO.  LTD.,52202010,다각적 산업용 제품 도매
6503,Mitsubishi Electric Corporation,54401010,소비재 대기업
4063,Shin-Etsu Chemical Co.  Ltd.,51101090,다각적 화학 산업
4519,Chugai Pharmaceutical Co Ltd,56201040,제약
7182,Japan Post Bank Co Ltd,55101010,은행
6752,Panasonic Holdings Corporation,57106030,가정용 전자 제품
9433,KDDI CORPORATION,57401020,무선 통신 서비스
9434,SoftBank Corp.,57401020,무선 통신 서비스
7974,Nintendo Co.  Ltd.,53205010,장난감 및 어린이 제품
5803,Fujikura Ltd.,52102030,전기 부품 및 장비
4502,Takeda Pharmaceutical Company Limited,56201040,제약
7741,HOYA CORPORATION,56101020,"의료 장비, 물품 및 유통"
8053,SUMITOMO CORPORATION,52202010,다각적 산업용 제품 도매
8002,Marubeni Corporation,52202010,다각적 산업용 제품 도매
7267,HONDA MOTOR CO.  LTD.,53101010,자동차 및 트럭 제조
5802,Sumitomo Electric Industries  Ltd.,53101020,"자동차, 트럭 및 오토바이 부품"
8725,MS&AD Insurance Group Holdings  Inc.,55301020,손해보험
8591,ORIX CORPORATION,55102030,다각적 투자 서비스
6146,Disco Corp,57101020,반도체 장비 및 테스트
6723,Renesas Electronics Corp,57101010,반도체
6301,KOMATSU LTD.,52102020,중장비 및 차량
8750,Daiichi Life Group  Inc.,55301030,생명 및 건강 보험
8015,TOYOTA TSUSHO CORPORATION,52202010,다각적 산업용 제품 도매
4578,Otsuka Holdings Co.  Ltd.,56201040,제약
6701,NEC Corporation,57201010,IT 서비스 및 컨설팅
6178,Japan Post Holdings Co Ltd,55301030,생명 및 건강 보험
8630,Sompo Holdings  Inc.,55301020,손해보험
6702,Fujitsu Limited,57201010,IT 서비스 및 컨설팅
6954,Fanuc Corp,52102010,산업용 기계 및 장비
6762,TDK CORPORATION,57104010,전자 장비 및 부품
6367,Daikin Industries Ltd,52102030,전기 부품 및 장비
7751,CANON INC.,57105010,사무기기
4062,Ibiden Co Ltd,57101010,반도체
8308,Resona Holdings  Inc.,55101010,은행
6971,KYOCERA CORPORATION,57104010,전자 장비 및 부품
6902,DENSO CORPORATION,53101020,"자동차, 트럭 및 오토바이 부품"
2802,Ajinomoto Co.  Inc.,54102020,식품 가공
5108,BRIDGESTONE CORPORATION,53101030,타이어 및 고무 제품
4661,ORIENTAL LAND CO.  LTD.,53301040,여가 및 오락시설
4568,Daiichi Sankyo Co Ltd,56201040,제약
6273,SMC Corp,52102010,산업용 기계 및 장비
8309,Sumitomo Mitsui Trust Group  Inc.,55101010,은행
8604,Nomura Holdings  Inc.,55102010,투자 은행 및 중개 서비스
3382,Seven & i Holdings Co.  Ltd.,54301020,식품 소매 및 유통
1605,INPEX CORPORATION,50102020,"오일, 가스 탐사 및 생산"
8802,Mitsubishi Estate Company  Limited,60101010,"부동산 임대, 개발 및 운영"
4503,Astellas Pharma Inc.,56201040,제약
4901,FUJIFILM Holdings Corporation,51101030,특수 화학제
8801,Mitsui Fudosan Co.  Ltd.,60101010,"부동산 임대, 개발 및 운영"
9020,East Japan Railway Co,52406020,지상 및 해상 여객 운송
7269,SUZUKI MOTOR CORPORATION,53101010,자동차 및 트럭 제조
8267,AEON CO.  LTD.,54301020,식품 소매 및 유통
4543,TERUMO CORPORATION,56101020,"의료 장비, 물품 및 유통"
9022,Central Japan Railway Co,52406020,지상 및 해상 여객 운송
6920,Lasertec Corporation,57101020,반도체 장비 및 테스트
5016,JX Advanced Metals Corp,51201050,특수 채굴 및 금속
5401,NIPPON STEEL CORPORATION,51201020,철 및 강철
7936,ASICS Corporation,53202030,제화
5020,ENEOS Holdings  Inc.,50102030,"오일, 가스 정제 및 마케팅"
4689,LY Corp,57201030,온라인 서비스
7832,Bandai Namco Holdings Inc,53205010,장난감 및 어린이 제품
6594,NIDEC CORPORATION,52102030,전기 부품 및 장비
4004,Resonac Holdings Corporation,51101010,상품 화학
4452,Kao Corporation,54201020,개인 생활 필수 용품
7013,IHI Corporation,52102010,산업용 기계 및 장비
8830,Sumitomo Realty & Development Co.  Ltd.,60101010,"부동산 임대, 개발 및 운영"
6326,KUBOTA CORPORATION,52102020,중장비 및 차량
9766,KONAMI GROUP CORPORATION,57201020,소프트웨어
1925,DAIWA HOUSE INDUSTRY CO.  LTD.,53203010,주택 건설
9735,SECOM CO.  LTD.,52203040,경영 지원 서비스
4612,NIPPON PAINT HOLDINGS CO.  LTD.,51101010,상품 화학
7532,Pan Pacific International Holdings Corporation,53402020,할인점
5801,Furukawa Electric Co Ltd,52102030,전기 부품 및 장비
5713,Sumitomo Metal Mining Co.  Ltd.,51201050,특수 채굴 및 금속
8601,Daiwa Securities Group Inc,55102010,투자 은행 및 중개 서비스
4307,Nomura Research Institute  Ltd.,57201010,IT 서비스 및 컨설팅
6361,EBARA CORPORATION,52102010,산업용 기계 및 장비
7735,Screen Holdings Co Ltd,57101020,반도체 장비 및 테스트
9503,The Kansai Electric Power Company  Incorporated,59101010,전력 유틸리티
4091,NIPPON SANSO HOLDINGS CORPORATION,51101010,상품 화학
1812,KAJIMA CORPORATION,52201020,건설 및 엔지니어링
2502,Asahi Group Holdings  Ltd.,54101010,양조업
9101,Nippon Yusen Kabushiki Kaisha,52405020,해양 화물 및 물류
7453,RYOHIN KEIKAKU CO.  LTD.,53402010,백화점
4507,Shionogi & Co.  Ltd.,56201040,제약
2503,Kirin Holdings Company  Limited,54101010,양조업
7012,Kawasaki Heavy Industries  Ltd.,54401010,소비재 대기업
6988,NITTO DENKO CORPORATION,51101030,특수 화학제
8795,T&D Holdings  Inc.,55301030,생명 및 건강 보험
6383,DAIFUKU CO.  LTD.,52102040,중전기장비
8697,Japan Exchange Group  Inc.,55102050,"금융, 상품 시장 운영 및 서비스 제공"
3407,ASAHI KASEI CORPORATION,51101090,다각적 화학 산업
7733,OLYMPUS CORPORATION,56101010,첨단 의료 장비 및 기술
9104,Mitsui O.S.K. Lines  Ltd.,52405020,해양 화물 및 물류
4684,Obic Co Ltd,57201010,IT 서비스 및 컨설팅
6504,FUJI ELECTRIC CO.  LTD.,52102030,전기 부품 및 장비
1928,Sekisui House  Ltd.,53203010,주택 건설
7186,Yokohama Financial Group  Inc.,55101010,은행
8331,The Chiba Bank  Ltd.,55101010,은행
9697,Capcom Co Ltd,57201020,소프트웨어
6525,KOKUSAI ELECTRIC CORPORATION,57101020,반도체 장비 및 테스트
9502,Chubu Electric Power Co Inc,59101010,전력 유틸리티
1801,TAISEI CORPORATION,52201020,건설 및 엔지니어링
1802,OBAYASHI CORPORATION,52201020,건설 및 엔지니어링
9532,OSAKA GAS CO.  LTD.,59102010,천연가스 유틸리티
8593,Mitsubishi HC Capital Inc,55101050,기업 금융 서비스
8473,SBI Holdings Inc,55102030,다각적 투자 서비스
3402,TORAY INDUSTRIES  INC.,51101010,상품 화학
5831,Shizuoka Financial Group Inc,55101010,은행
9531,Tokyo Gas Co Ltd,59102010,천연가스 유틸리티
3659,NEXON Co.  Ltd.,57201030,온라인 서비스
6963,ROHM COMPANY LIMITED,57101010,반도체
7272,Yamaha Motor Co.  Ltd.,53101010,자동차 및 트럭 제조
5334,Niterra Co.  Ltd.,53101020,"자동차, 트럭 및 오토바이 부품"
9107,Kawasaki Kisen Kaisha Ltd,52405020,해양 화물 및 물류
8113,UNICHARM CORPORATION,54201020,개인 생활 필수 용품
7270,SUBARU CORPORATION,53101010,자동차 및 트럭 제조
7181,Japan Post Insurance Co Ltd,55301030,생명 및 건강 보험
7550,Zensho Holdings Co.  Ltd.,53301020,레스토랑 및 바
9435,Hikari Tsushin Inc,57102010,통신 및 네트워킹
4188,Mitsubishi Chemical Group Corporation,51101090,다각적 화학 산업
1803,SHIMIZU CORPORATION,52201020,건설 및 엔지니어링
7309,Shimano Inc,53205020,오락용 제품
2801,Kikkoman Corp,54102020,식품 가공
5333,NGK Corporation,52102010,산업용 기계 및 장비
9843,Nitori Holdings Co.  Ltd.,53403030,가정용 가구 소매
5706,Mitsui Kinzoku Co Ltd,51201050,특수 채굴 및 금속
4755,Rakuten Group  Inc.,57201030,온라인 서비스
6479,Minebea Mitsumi Inc,57104010,전자 장비 및 부품
7259,AISIN CORPORATION,53101020,"자동차, 트럭 및 오토바이 부품"
7911,TOPPAN Holdings Inc.,52203020,상업 인쇄 서비스
5019,Idemitsu Kosan Co Ltd,50102030,"오일, 가스 정제 및 마케팅"
