Code,Name,Market,Sector,Industry,Products,ListingDate,SettleMonth,Representative,HomePage,Region
060310,3S,KOSDAQ,벤처기업부,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",반도체 웨이퍼 캐리어,2002-04-23,03월,정완영,http://www.3sref.com,서울특별시
054620,APS,KOSDAQ,중견기업부,기타 금융업,인터넷 트래픽 솔루션,2001-12-04,12월,정기로,http://www.apsholdings.co.kr,경기도
079810,APS이노베이션,KOSDAQ,우량기업부,기타 전기장비 제조업,FPD공정검사장비,2005-01-26,12월,배성민,http://www.i-det.com,경기도
265520,AP시스템,KOSDAQ,우량기업부,특수 목적용 기계 제조업,디스플레이 제조 장비,2017-04-07,12월,Yoo Ho Sun,http://www.apsystems.co.kr,경기도
211270,AP위성,KOSDAQ,우량기업부,통신 및 방송 장비 제조업,위성통신 단말기,2016-03-04,12월,이성희,http://www.apsi.co.kr,서울특별시
126600,BGF에코머티리얼즈,KOSDAQ,우량기업부,합성고무 및 플라스틱 물질 제조업,엔지니어링 플라스틱 칩,2010-11-12,12월,홍정혁,http://www.bgfecomaterials.com,경기도
083790,CG인바이츠,KOSDAQ,벤처기업부,자연과학 및 공학 연구개발업,아셀렉스,2006-01-06,12월,이호영,http://www.cginvites.com,서울특별시
311690,CJ 바이오사이언스,KOSDAQ,기술성장기업부,자연과학 및 공학 연구개발업,"생명정보 플랫폼, 마이크로바이옴 분석 서비스",2019-12-26,12월,윤상배,http://www.cjbioscience.com,서울특별시
051500,CJ프레시웨이,KOSDAQ,우량기업부,음·식료품 및 담배 도매업,"식자재유통, 단체급식",2001-07-26,12월,이건일,http://www.cjfreshway.com,경기도
058820,CMG제약,KOSDAQ,관리종목(소속부없음),의약품 제조업,의약품,2001-08-31,12월,이주형,http://www.cmgpharma.co.kr,서울특별시
056730,CNT85,KOSDAQ,중견기업부,건물 건설업,산업설비 제조외,2002-01-04,12월,이기주,http://www.cnt85.com,경기도
065770,CS,KOSDAQ,관리종목(소속부없음),통신 및 방송 장비 제조업,"이동통신중계기, 위성방송(DMB)중계기(Gap-Filler)",2004-06-04,12월,"최규훈, 김태연(각자 대표이사)",http://www.cs-holdings.co.kr,경기도
083660,CSA 코스믹,KOSDAQ,중견기업부,기타 화학제품 제조업,화장품 제조 및 판매,2006-07-25,12월,양종옥,http://www.csacosmic.com,서울특별시
477760,DB금융스팩12호,KOSDAQ,SPAC(소속부없음),기타 금융업,기업인수 및 합병,2024-06-18,12월,김창희,,서울특별시
099520,DGI,KOSDAQ,관리종목(소속부없음),영상 및 음향기기 제조업,"DVR,유선통신기기 제조,무역/소프트웨어 자문,연구개발,기술용역",2009-12-22,12월,"박상열,박근식 (각자 대표이사)",http://www.itxai.com,서울특별시
290120,DH오토리드,KOSDAQ,중견기업부,자동차 신품 부품 제조업,자동차 스티어링휠,2018-12-07,12월,이석근,http://www.dhautolead.co.kr,전북특별자치도
