Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId,lateInfoMsgCd
060310,KR7060310000,3S,KOSDAQ,벤처기업부,-,0,,,,,,,,,53059040,KSQ,ME005
054620,KR7054620000,APS,KOSDAQ,중견기업부,-,0,,,,,,,,,18394221,KSQ,ME005
079810,KR7079810008,APS이노베이션,KOSDAQ,우량기업부,-,0,,,,,,,,,21528094,KSQ,ME005
265520,KR7265520007,AP시스템,KOSDAQ,우량기업부,-,0,,,,,,,,,15050821,KSQ,ME005
211270,KR7211270004,AP위성,KOSDAQ,우량기업부,-,0,,,,,,,,,15082304,KSQ,ME005
126600,KR7126600006,BGF에코머티리얼즈,KOSDAQ,우량기업부,-,0,,,,,,,,,62766899,KSQ,ME005
083790,KR7083790006,CG인바이츠,KOSDAQ,벤처기업부,-,0,,,,,,,,,76894182,KSQ,ME005
035760,KR7035760008,CJ ENM,KOSDAQ GLOBAL,중견기업부,-,0,,,,,,,,,21929154,KSQ,ME005
311690,KR7311690002,CJ 바이오사이언스,KOSDAQ,기술성장기업부,-,0,,,,,,,,,13065462,KSQ,ME005
051500,KR7051500007,CJ프레시웨이,KOSDAQ,우량기업부,-,0,,,,,,,,,11871586,KSQ,ME005
058820,KR7058820002,CMG제약,KOSDAQ,관리종목(소속부없음),-,0,,,,,,,,,148123556,KSQ,ME005
056730,KR7056730005,CNT85,KOSDAQ,중견기업부,-,0,,,,,,,,,14822237,KSQ,ME005
065770,KR7065770000,CS,KOSDAQ,관리종목(소속부없음),-,0,,,,,,,,,10515064,KSQ,ME005
083660,KR7083660001,CSA 코스믹,KOSDAQ,중견기업부,-,0,,,,,,,,,17424159,KSQ,ME005
477760,KR7477760003,DB금융스팩12호,KOSDAQ,SPAC(소속부없음),-,0,,,,,,,,,5840000,KSQ,ME005
099520,KR7099520009,DGI,KOSDAQ,관리종목(소속부없음),-,0,,,,,,,,,45281824,KSQ,ME005
290120,KR7290120005,DH오토리드,KOSDAQ,중견기업부,-,0,,,,,,,,,15825177,KSQ,ME005
025440,KR7025440009,DH오토웨어,KOSDAQ,투자주의환기종목(소속부없음),-,0,,,,,,,,,9756244,KSQ,ME005
