Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId,lateInfoMsgCd
095570,KR7095570008,AJ네트웍스,KOSPI,,-,0,,,,,,,,,45252759,STK,ME005
006840,KR7006840003,AK홀딩스,KOSPI,,-,0,,,,,,,,,13247561,STK,ME005
027410,KR7027410000,BGF,KOSPI,,-,0,,,,,,,,,95716791,STK,ME005
282330,KR7282330000,BGF리테일,KOSPI,,-,0,,,,,,,,,17283906,STK,ME005
138930,KR7138930003,BNK금융지주,KOSPI,,-,0,,,,,,,,,306839751,STK,ME005
001460,KR7001460005,BYC,KOSPI,,-,0,,,,,,,,,6246150,STK,ME005
001465,KR7001461003,BYC우,KOSPI,,-,0,,,,,,,,,2153850,STK,ME005
001040,KR7001040005,CJ,KOSPI,,-,0,,,,,,,,,29176998,STK,ME005
079160,KR7079160008,CJ CGV,KOSPI,,-,0,,,,,,,,,165582797,STK,ME005
00104K,KR700104K010,CJ4우(전환),KOSPI,,-,0,,,,,,,,,4226512,STK,ME005
000120,KR7000120006,CJ대한통운,KOSPI,,-,0,,,,,,,,,22812344,STK,ME005
011150,KR7011150000,CJ씨푸드,KOSPI,,-,0,,,,,,,,,35930773,STK,ME005
011155,KR7011151008,CJ씨푸드1우,KOSPI,,-,0,,,,,,,,,200000,STK,ME005
001045,KR7001041003,CJ우,KOSPI,,-,0,,,,,,,,,2260223,STK,ME005
097950,KR7097950000,CJ제일제당,KOSPI,,-,0,,,,,,,,,15054186,STK,ME005
097955,KR7097951008,CJ제일제당 우,KOSPI,,-,0,,,,,,,,,1327433,STK,ME005
000480,KR7000480004,CR홀딩스,KOSPI,,-,0,,,,,,,,,46890490,STK,ME005
000590,KR7000590000,CS홀딩스,KOSPI,,-,0,,,,,,,,,1154482,STK,ME005
012030,KR7012030003,DB,KOSPI,,-,0,,,,,,,,,201173933,STK,ME005
005830,KR7005830005,DB손해보험,KOSPI,,-,0,,,,,,,,,65500349,STK,ME005
016610,KR7016610008,DB증권,KOSPI,,-,0,,,,,,,,,42446389,STK,ME005
000990,KR7000990002,DB하이텍,KOSPI,,-,0,,,,,,,,,43504588,STK,ME005
000300,KR7000300004,DH오토넥스,KOSPI,,-,0,,,,,,,,,41437055,STK,ME005
001530,KR7001530005,DI동일,KOSPI,,-,0,,,,,,,,,20715621,STK,ME005
015590,KR7015590003,DKME,KOSPI,,-,0,,,,,,,,,53396308,STK,ME005
000210,KR7000210005,DL,KOSPI,,-,0,,,,,,,,,20955884,STK,ME005
000215,KR7000211003,DL우,KOSPI,,-,0,,,,,,,,,1686115,STK,ME005
375500,KR7375500006,DL이앤씨,KOSPI,,-,0,,,,,,,,,38693623,STK,ME005
37550L,KR737550K029,DL이앤씨2우(전환),KOSPI,,-,0,,,,,,,,,2111951,STK,ME005
37550K,KR737550K011,DL이앤씨우,KOSPI,,-,0,,,,,,,,,2113885,STK,ME005
007340,KR7007340003,DN오토모티브,KOSPI,,-,0,,,,,,,,,58510865,STK,ME005
004840,KR7004840005,DRB동일,KOSPI,,-,0,,,,,,,,,19272364,STK,ME005
155660,KR7155660004,DSR,KOSPI,,-,0,,,,,,,,,16000000,STK,ME005
069730,KR7069730000,DSR제강,KOSPI,,-,0,,,,,,,,,14400000,STK,ME005
017860,KR7017860008,DS단석,KOSPI,,-,0,,,,,,,,,17653634,STK,ME005
092780,KR7092780006,DYP,KOSPI,,-,0,,,,,,,,,13168460,STK,ME005
017940,KR7017940008,E1,KOSPI,,-,0,,,,,,,,,6860000,STK,ME005
365550,KR7365550003,ESR켄달스퀘어리츠,KOSPI,,-,0,,,,,,,,,246089000,STK,ME005
383220,KR7383220001,F&F,KOSPI,,-,0,,,,,,,,,38307075,STK,ME005
007700,KR7007700008,F&F홀딩스,KOSPI,,-,0,,,,,,,,,39114367,STK,ME005
114090,KR7114090004,GKL,KOSPI,,-,0,,,,,,,,,61855670,STK,ME005
078930,KR7078930005,GS,KOSPI,,-,0,,,,,,,,,92895495,STK,ME005
006360,KR7006360002,GS건설,KOSPI,,-,0,,,,,,,,,85581490,STK,ME005
001250,KR7001250000,GS글로벌,KOSPI,,-,0,,,,,,,,,82533764,STK,ME005
007070,KR7007070006,GS리테일,KOSPI,,-,0,,,,,,,,,83607415,STK,ME005
078935,KR7078931003,GS우,KOSPI,,-,0,,,,,,,,,1779676,STK,ME005
499790,KR7499790004,GS피앤엘,KOSPI,,-,0,,,,,,,,,19830841,STK,ME005
012630,KR7012630000,HDC,KOSPI,,-,0,,,,,,,,,59741721,STK,ME005
039570,KR7039570007,HDC랩스,KOSPI,,-,0,,,,,,,,,25957601,STK,ME005
089470,KR7089470009,HDC현대EP,KOSPI,,-,0,,,,,,,,,31900000,STK,ME005
267270,KR7267270007,HD건설기계,KOSPI,,-,0,,,,,,,,,47497386,STK,ME005
009540,KR7009540006,HD한국조선해양,KOSPI,,-,0,,,,,,,,,70773116,STK,ME005
267250,KR7267250009,HD현대,KOSPI,,-,0,,,,,,,,,78993085,STK,ME005
443060,KR7443060009,HD현대마린솔루션,KOSPI,,-,0,,,,,,,,,44833460,STK,ME005
071970,KR7071970008,HD현대마린엔진,KOSPI,,-,0,,,,,,,,,33921495,STK,ME005
322000,KR7322000001,HD현대에너지솔루션,KOSPI,,-,0,,,,,,,,,11200000,STK,ME005
267260,KR7267260008,HD현대일렉트릭,KOSPI,,-,0,,,,,,,,,36047135,STK,ME005
329180,KR7329180004,HD현대중공업,KOSPI,,-,0,,,,,,,,,104961225,STK,ME005
097230,KR7097230007,HJ중공업,KOSPI,,-,0,,,,,,,,,90295344,STK,ME005
014790,KR7014790000,HL D&I,KOSPI,,-,0,,,,,,,,,37858601,STK,ME005
003580,KR7003580008,HLB글로벌,KOSPI,,-,0,,,,,,,,,50663505,STK,ME005
204320,KR7204320006,HL만도,KOSPI,,-,0,,,,,,,,,46957120,STK,ME005
