Symbol,Name,IndustryCode,Industry,MarketCapLocal,MarketCapKrwText,Currency
TSM,Taiwan Semiconductor Manufacturing Company Limited ADR,57101010,반도체,2344286248000,"3,168조 3,029억원",USD
LLY,Eli Lilly and Company,56201040,제약,1101519556039,"1,488조 7,037억원",USD
JPM,JPMorgan Chase & Co.,55101010,은행,903783306300,"1,221조 4,631억원",USD
BRK B,Berkshire Hathaway Inc Class B,54401010,소비재 대기업,708931623212,"958조 1,211억원",USD
V,Visa Inc.,52203040,경영 지원 서비스,675945790010,"913조 5,407억원",USD
XOM,Exxonmobil Holdings Corp,50102030,"오일, 가스 정제 및 마케팅",652601547172,"881조 9,910억원",USD
JNJ,Johnson & Johnson,56201040,제약,648720603326,"876조 7,459억원",USD
MA,Mastercard Incorporated,57201030,온라인 서비스,486965165547,"658조 1,334억원",USD
ABBV,AbbVie Inc.,56201040,제약,468657175155,"633조 3,902억원",USD
ORCL,Oracle Corporation,57201020,소프트웨어,451141411200,"609조 7,176억원",USD
CVX,Chevron Corporation,50102010,통합 오일 및 가스,399915863570,"540조 4,863억원",USD
BAC,Bank of America Corporation,55101010,은행,392992458113,"531조 1,293억원",USD
KO,Coca-Cola Co,54101030,무알콜 음료,381248888422,"515조 2,579억원",USD
MRK,Merck & Co Inc,56201040,제약,372320871891,"503조 1,917억원",USD
CAT,Caterpillar Inc,52102020,중장비 및 차량,371421907061,"501조 9,767억원",USD
BRK A,Berkshire Hathaway Inc Class A,54401010,소비재 대기업,369096783357,"498조 8,343억원",USD
DELL,Dell Technologies Inc,57106010,컴퓨터 하드웨어,349010334730,"471조 6,875억원",USD
HSBC,HSBC Holdings PLC ADR,55101010,은행,348376270134,"470조 8,305억원",USD
PG,The Procter & Gamble Company,54201020,개인 생활 필수 용품,344266490085,"465조 2,762억원",USD
UNH,UnitedHealth Group Incorporated,56102020,의료 관리,334757998189,"452조 4,254억원",USD
GE,General Electric Company,52101010,항공우주 및 방위,331210705400,"447조 6,313억원",USD
SMFG,Sumitomo Mitsui Financial Group  Inc. ADR,55101010,은행,330187374450,"446조 2,482억원",USD
MS,Morgan Stanley,55102010,투자 은행 및 중개 서비스,314395960333,"424조 9,061억원",USD
HD,The Home Depot  Inc.,53403020,주택 개조 제품 및 서비스 소매,304644527299,"411조 7,271억원",USD
PM,Philip Morris International Inc.,54102030,담배,296495034501,"400조 7,130억원",USD
BABA,Alibaba Group Holding Limited ADR,57201030,온라인 서비스,289102882661,"390조 7,225억원",USD
RY,Royal Bank of Canada,55101010,은행,282630569970,"381조 9,752억원",USD
GS,The Goldman Sachs Group  Inc.,55102010,투자 은행 및 중개 서비스,276464340182,"373조 6,416억원",USD
SHEL,Shell PLC ADR,50102010,통합 오일 및 가스,269502595518,"364조 2,328억원",USD
NVS,Novartis AG ADR,56201040,제약,268532992595,"362조 9,223억원",USD
AZN,AstraZeneca PLC,56201040,제약,261149187529,"352조 9,431억원",USD
MUFG,Mitsubishi UFJ Financial Group  Inc. ADR,55101010,은행,259895608262,"351조 2,489억원",USD
ANET,Arista Networks  Inc.,57102010,통신 및 네트워킹,258790685523,"349조 7,556억원",USD
RTX,RTX Corporation,52101010,항공우주 및 방위,257408327923,"347조 8,874억원",USD
GEV,GE Vernova Inc.,59101010,전력 유틸리티,253091475353,342조 531억원,USD
WFC,Wells Fargo & Company,55101010,은행,251445544788,"339조 8,287억원",USD
SAP,SAP SE ADR,57201020,소프트웨어,245981340233,"332조 4,438억원",USD
TMO,Thermo Fisher Scientific Inc,56101010,첨단 의료 장비 및 기술,243485982777,329조 713억원,USD
TM,TOYOTA MOTOR CORPORATION ADR,53101010,자동차 및 트럭 제조,226892423364,"306조 6,451억원",USD
BHP,BHP Group Ltd ADR,51201080,다각적 채굴,223217916215,"301조 6,790억원",USD
C,Citigroup Inc.,55102010,투자 은행 및 중개 서비스,222210050644,"300조 3,169억원",USD
IBM,International Business Machines Corporation,57201010,IT 서비스 및 컨설팅,217991055158,"294조 6,149억원",USD
SAN,Banco Santander S.A. ADR,55101010,은행,207511290000,"280조 4,515억원",USD
AXP,American Express Company,55101030,소비자 대출,206016770753,"278조 4,317억원",USD
TTE,TotalEnergies SE,50102010,통합 오일 및 가스,205006855753,277조 668억원,USD
APH,Amphenol Corp,57104010,전자 장비 및 부품,204280699156,276조 854억원,USD
TD,The Toronto-Dominion Bank,55101010,은행,201736643765,"272조 6,471억원",USD
VZ,Verizon Communications Inc,57401010,통합 통신 서비스,192989308133,"260조 8,250억원",USD
CRM,Salesforce  Inc.,57201010,IT 서비스 및 컨설팅,191989440000,"259조 4,737억원",USD
DE,Deere & Co,52102020,중장비 및 차량,189579019685,"256조 2,160억원",USD
ABT,Abbott Laboratories,56101020,"의료 장비, 물품 및 유통",179423443962,"242조 4,908억원",USD
DIS,The Walt Disney Company,53302020,방송,179264634166,"242조 2,762억원",USD
MCD,McDonald's Corp,53301020,레스토랑 및 바,177158057286,"239조 4,291억원",USD
SCCO,Southern Copper Corp,51201050,특수 채굴 및 금속,174053007432,"235조 2,326억원",USD
SCHW,The Charles Schwab Corporation,55102010,투자 은행 및 중개 서비스,173538838900,"234조 5,377억원",USD
BLK,BlackRock  Inc.,55102020,투자 관리 및 펀드 운영,173306848559,"234조 2,242억원",USD
T,AT&T Inc.,57401020,무선 통신 서비스,171994879815,"232조 4,511억원",USD
ETN,Eaton Corporation PLC,52102030,전기 부품 및 장비,171863116000,"232조 2,730억원",USD
WELL,Welltower Inc.,60102040,특수 REITs,166052429261,"224조 4,199억원",USD
UBS,UBS Group AG,55102020,투자 관리 및 펀드 운영,161235236017,"217조 9,094억원",USD
NEE,NextEra Energy  Inc.,59101010,전력 유틸리티,165334632845,"223조 4,498억원",USD
UNP,Union Pacific Corporation,52405030,지상 화물 및 물류,163020257406,"220조 3,219억원",USD
BBVA,Banco Bilbao Vizcaya Argentaria SA ADR,55101010,은행,159841113302,216조 253억원,USD
PFE,Pfizer Inc.,56201040,제약,159191883341,"215조 1,478억원",USD
BA,Boeing Co,52101010,항공우주 및 방위,156271960354,"211조 2,016억원",USD
DHR,Danaher Corporation,56101010,첨단 의료 장비 및 기술,155423186679,210조 544억원,USD
COP,ConocoPhillips,50102020,"오일, 가스 탐사 및 생산",150491545994,"203조 3,893억원",USD
BX,Blackstone Inc.,55102020,투자 관리 및 펀드 운영,148130387220,"200조 1,982억원",USD
TJX,The TJX Companies  Inc.,53402020,할인점,143865607438,"194조 4,344억원",USD
UBER,Uber Technologies  Inc.,57201030,온라인 서비스,142754526857,"192조 9,327억원",USD
NOW,ServiceNow  Inc.,57201020,소프트웨어,141639094000,"191조 4,252억원",USD
GLW,Corning Incorporated,57104010,전자 장비 및 부품,137555102577,"185조 9,057억원",USD
SONY,Sony Group Corporation ADR,57106030,가정용 전자 제품,136845391836,"184조 9,465억원",USD
UL,Unilever PLC ADR,54201020,개인 생활 필수 용품,135571837190,"183조 2,253억원",USD
BUD,Anheuser-Busch Inbev SA ADR,54101010,양조업,135185140768,"182조 7,027억원",USD
NEM,Newmont Corporation,51201060,금,134092878407,"181조 2,265억원",USD
NVO,Novo Nordisk A/S ADR,56201040,제약,132021737488,"178조 4,274억원",USD
MFG,Mizuho Financial Group  Inc. ADR,55101010,은행,131560336279,"177조 8,038억원",USD
CB,Chubb Limited,55301010,복합보험 및 중개인,129540018656,175조 733억원,USD
PLD,Prologis  Inc.,60102020,상업용 REITs,129131298587,"174조 5,210억원",USD
BMY,Bristol-Myers Squibb Company,56201040,제약,127158987336,"171조 8,554억원",USD
NET,Cloudflare  Inc.,57201010,IT 서비스 및 컨설팅,125696139395,"169조 8,783억원",USD
COF,Capital One Financial Corp,55101030,소비자 대출,123034383860,"166조 2,810억원",USD
