Symbol,Name,IndustryCode,Industry,MarketCapLocal,MarketCapKrwText,Currency
601288,Agricultural Bank of China Ltd Class A,55101010,은행,2196400170146,"443조 2,994억원",CNY
601398,Industrial and Commercial Bank of China Ltd Class A,55101010,은행,2189251165817,"441조 8,566억원",CNY
601857,PetroChina Company Limited Class A,50102010,통합 오일 및 가스,1747139219656,"352조 6,251억원",CNY
601988,Bank of China Ltd Class A,55101010,은행,1586624400536,"320조 2,284억원",CNY
600519,Kweichow Moutai Co.  Ltd. Class A,54101020,증류주 및 포도주,1567352311334,"316조 3,387억원",CNY
601138,Foxconn Industrial Internet Co Ltd Class A,57102010,통신 및 네트워킹,1256131041577,"253조 5,249억원",CNY
601088,China Shenhua Energy Co Ltd Class A,50101010,석탄,870000853963,"175조 5,923억원",CNY
600036,China Merchants Bank Co.  Ltd. Class A,55101010,은행,842073511592,"169조 9,557억원",CNY
601628,China Life Insurance Co Ltd Class A,55301030,생명 및 건강 보험,805662375700,"162조 6,068억원",CNY
688256,Cambricon Technologies Corp Ltd Class A,57101010,반도체,704945342968,"142조 2,791억원",CNY
600900,China Yangtze Power Co Ltd Class A,59101010,전력 유틸리티,685599460402,"138조 3,745억원",CNY
601899,Zijin Mining Group Co Ltd Class A,51201060,금,647102322527,"130조 6,047억원",CNY
688041,Hygon Information Technology Co Ltd Class A,57101010,반도체,595030551296,120조 950억원,CNY
601318,Ping An Insurance (Group) Company of China  Ltd. Class A,55301030,생명 및 건강 보험,580547144420,"117조 1,718억원",CNY
601658,Postal Savings Bank of China Co Ltd Class A,55101010,은행,534273265002,"107조 8,324억원",CNY
600028,China Petroleum and Chemical Corporation Class A,50102030,"오일, 가스 정제 및 마케팅",515275266397,"103조 9,980억원",CNY
601728,China Telecom Corp Ltd Class A,57401010,통합 통신 서비스,475093939638,"95조 8,882억원",CNY
603259,WuXi AppTec Co.  Ltd. Class A,56202010,생명 공학 및 의학 연구,415140089291,"83조 7,877억원",CNY
601328,Bank of Communications Co Ltd Class A,55101010,은행,402807008027,"81조 2,985억원",CNY
601166,Industrial Bank Co.  Ltd. Class A,55101010,은행,378603556688,"76조 4,136억원",CNY
601998,China Citic Bank Corp Ltd Class A,55101010,은행,368497513554,"74조 3,739억원",CNY
600183,Shengyi Technology Co Ltd Class A,57104010,전자 장비 및 부품,348440576462,"70조 3,258억원",CNY
