Symbol,Name,IndustryCode,Industry,MarketCapLocal,MarketCapKrwText,Currency
300750,Contemporary Amperex Technology Co.  Limited Class A,52102030,전기 부품 및 장비,1343093635094,271조 766억원,CNY
300308,Zhongji Innolight Co.  Ltd. Class A,57102010,통신 및 네트워킹,1034625481149,"208조 8,185억원",CNY
300502,Eoptolink Technology Inc.  Ltd. Class A,57104010,전자 장비 및 부품,634605460580,128조 824억원,CNY
000333,Midea Group Co.  Ltd. Class A,53204030,"가전제품, 도구 및 가정 용품",574692212194,"115조 9,901억원",CNY
002371,Naura Technology Group Co Ltd Class A,57101020,반도체 장비 및 테스트,488330776464,"98조 5,598억원",CNY
002594,BYD Company Limited Class A,53101010,자동차 및 트럭 제조,470458193178,"94조 9,526억원",CNY
002475,Luxshare Precision Industry Co Ltd Class A,57104010,전자 장비 및 부품,402627716083,"81조 2,624억원",CNY
002384,Suzhou Dongshan Precision Manufacturing Co Ltd Class A,57101010,반도체,362878084240,"73조 2,397억원",CNY
002415,Hangzhou Hikvision Digital Technology Co Ltd Class A,57102010,통신 및 네트워킹,304090438029,"61조 3,746억원",CNY
300394,Suzhou TFC Optical Communication Co.  Ltd. Class A,57104010,전자 장비 및 부품,300893193653,"60조 7,293억원",CNY
300059,East Money Information Co Ltd Class A,55102010,투자 은행 및 중개 서비스,296982691654,"59조 9,400억원",CNY
000858,Wuliangye Yibin Co Ltd Class A,54101020,증류주 및 포도주,273808628673,"55조 2,628억원",CNY
002916,Shennan Circuits Co Ltd Class A,57101010,반도체,272466638000,"54조 9,919억원",CNY
300408,Chaozhou Three-circle (Group) Co Ltd Class A,57104010,전자 장비 및 부품,248148079597,50조 837억원,CNY
002463,WUS Printed Circuit (Kunshan) Co.  Ltd. Class A,57101010,반도체,240814853020,"48조 6,037억원",CNY
002142,Bank of Ningbo Co.  Ltd. Class A,55101010,은행,229276672298,"46조 2,749억원",CNY
002714,Muyuan Foods Group Co Ltd Class A,54102010,어업 및 농업,228671679622,"46조 1,528억원",CNY
000001,Ping An Bank Co Ltd Class A,55101010,은행,227243302099,"45조 8,645억원",CNY
002379,Shandong Hongqiao Aluminum Industry Holding Co Ltd Class A,51201030,알루미늄,222832121254,"44조 9,742억원",CNY
000725,BOE Technology Group Co Ltd Class A,57104010,전자 장비 및 부품,218108663622,44조 209억원,CNY
000651,Gree Electric Appliances  Inc. of Zhuhai Class A,53204030,"가전제품, 도구 및 가정 용품",213861671191,"43조 1,637억원",CNY
300476,Victory Giant Technology (HuiZhou) Co Ltd Class A,57101010,반도체,211246125477,"42조 6,358억원",CNY
002938,Avary Holding Shenzhen Co Ltd Class A,57101010,반도체,206840146727,"41조 7,465억원",CNY
300760,Shenzhen Mindray Bio-Medical Electronics Co.  Ltd. Class A,56101010,첨단 의료 장비 및 기술,189864734849,"38조 3,204억원",CNY
300274,Sungrow Power Supply Co Ltd Class A,50201010,재생 가능 에너지 장비 및 서비스,182857247597,"36조 9,061억원",CNY
000338,Weichai Power Co Ltd Class A,53101020,"자동차, 트럭 및 오토바이 부품",181024792186,"36조 5,362억원",CNY
300604,Hangzhou Changchuan Technology Co Ltd Class A,57101020,반도체 장비 및 테스트,176147101633,"35조 5,518억원",CNY
001399,HKC Corp Ltd Class A,57101010,반도체,174219748591,"35조 1,628억원",CNY
300433,Lens Technology Co.  Ltd. Class A,57104010,전자 장비 및 부품,171412896875,"34조 5,963억원",CNY
003816,CGN Power Co Ltd Class A,59101020,민자 발전 사업,165207835934,"33조 3,439억원",CNY
301377,Guangdong Dtech Technology Co Ltd Class A,52102010,산업용 기계 및 장비,163742347732,33조 481억원,CNY
302132,AVIC Chengdu Aircraft Co Ltd Class A,52102030,전기 부품 및 장비,160191877991,"32조 3,315억원",CNY
001248,China Resources New Energy Holdings Co Ltd Class A,59101020,민자 발전 사업,159193273677,"32조 1,300억원",CNY
300033,Hithink RoyalFlush Information Network Co.  Ltd. Class A,57301010,핀테크,158332876800,"31조 9,563억원",CNY
002281,Accelink Technologies Co Ltd Class A,57104010,전자 장비 및 부품,157597583290,"31조 8,079억원",CNY
301308,Shenzhen Longsys Electronics Co.  Ltd. Class A,57101010,반도체,149640526252,"30조 2,019억원",CNY
002352,S.F. Holding Co Ltd Class A,52405010,"배달, 우편, 항공 화물 및 육상 물류",148494376854,"29조 9,706억원",CNY
300124,Shenzhen Inovance Technology Co.  Ltd. Class A,52102030,전기 부품 및 장비,146450653377,"29조 5,581억원",CNY
000657,China Tungsten and Hightech Materials Co Ltd Class A,51201050,특수 채굴 및 금속,137307518843,"27조 7,128억원",CNY
300999,Yihai Kerry Arawana Holdings Co Ltd Class A,54102020,식품 가공,136190379384,"27조 4,873억원",CNY
002050,Zhejiang Sanhua Intelligent Controls Co Ltd Class A,52102010,산업용 기계 및 장비,135079486767,"27조 2,631억원",CNY
300857,Sharetronic Data Technology Co Ltd Class A,57106010,컴퓨터 하드웨어,133767386984,"26조 9,983억원",CNY
000063,ZTE Corp Class A,57102010,통신 및 네트워킹,132562544737,"26조 7,551억원",CNY
000792,Qinghai Yanhu Industry Co Ltd Class A,51101020,농화학제,131601409095,"26조 5,611억원",CNY
002493,Rongsheng Petrochemical Co Ltd Class A,51101010,상품 화학,131161376795,"26조 4,723억원",CNY
001280,China National Uranium Co Ltd Class A,50301010,우라늄,130522954534,"26조 3,434억원",CNY
301165,Ruijie Networks Co Ltd Class A,57401010,통합 통신 서비스,126431136291,"25조 5,176억원",CNY
000776,GF Securities Co.  Ltd. Class A,55102020,투자 관리 및 펀드 운영,123748873559,"24조 9,762억원",CNY
002353,Yantai Jereh Oilfield Services Group Co Ltd Class A,50103020,오일 관련 서비스 및 장비,121756935660,"24조 5,742억원",CNY
301526,Chongqing Polycomp International Corp Class A,51101010,상품 화학,116897219488,"23조 5,934억원",CNY
000408,Zangge Mining Co Ltd Class A,51101010,상품 화학,115315234419,"23조 2,741억원",CNY
301200,Shenzhen Han's Cnc Technology Co Ltd Class A,57101020,반도체 장비 및 테스트,111595785242,"22조 5,234억원",CNY
000100,TCL Technology Group Corporation Class A,57104010,전자 장비 및 부품,110390473240,"22조 2,801억원",CNY
300014,EVE Energy Co.  Ltd. Class A,52102030,전기 부품 및 장비,109860160064,"22조 1,731억원",CNY
001232,Shenzhen JLC Technology Group Co.  Ltd. Class A,57104010,전자 장비 및 부품,109684210800,"22조 1,376억원",CNY
002602,Zhejiang Century Huatong Group Co Ltd Class A,57201020,소프트웨어,107759375548,"21조 7,491억원",CNY
000988,HGTECH COMPANY LIMITED Class A,57104010,전자 장비 및 부품,107679284893,"21조 7,329억원",CNY
