Symbol,Name,IndustryCode,Industry,MarketCapLocal,MarketCapKrwText,Currency
7203,TOYOTA MOTOR CORPORATION,53101010,자동차 및 트럭 제조,44149837066500,"378조 8,851억원",JPY
8306,Mitsubishi UFJ Financial Group  Inc.,55101010,은행,42961113530400,"368조 6,837억원",JPY
9984,SoftBank Group Corp.,57401020,무선 통신 서비스,36070320877800,"309조 5,483억원",JPY
285A,Kioxia Holdings Corporation,57101010,반도체,29929026403980,"256조 8,449억원",JPY
8316,Sumitomo Mitsui Financial Group  Inc.,55101010,은행,25961683019190,"222조 7,980억원",JPY
6098,Recruit Holdings Co Ltd,52203030,고용 서비스,25547946985150,"219조 2,474억원",JPY
6501,Hitachi  Ltd.,54401010,소비재 대기업,25054438881140,215조 122억원,JPY
8035,Tokyo Electron Limited,57101020,반도체 장비 및 테스트,24857218449630,"213조 3,197억원",JPY
6857,ADVANTEST CORPORATION,57101020,반도체 장비 및 테스트,23460600000000,"201조 3,342억원",JPY
6758,Sony Group Corporation,57106030,가정용 전자 제품,22053774457222,"189조 2,611억원",JPY
9983,FAST RETAILING CO.  LTD.,53403040,의류 및 액세서리 소매,21537195114240,"184조 8,279억원",JPY
8411,Mizuho Financial Group  Inc.,55101010,은행,20751857789030,178조 883억원,JPY
6861,KEYENCE CORPORATION,57104010,전자 장비 및 부품,18624844440720,"159조 8,347억원",JPY
8058,Mitsubishi Corporation,52202010,다각적 산업용 제품 도매,18355985686674,"157조 5,274억원",JPY
8001,ITOCHU Corporation,52202010,다각적 산업용 제품 도매,18277738204880,"156조 8,559억원",JPY
9432,NTT  Inc.,57401010,통합 통신 서비스,16054571097720,"137조 7,771억원",JPY
8766,Tokio Marine Holdings  Inc.,55301020,손해보험,15858800000000,136조 970억원,JPY
6981,Murata Manufacturing Co.  Ltd.,57104010,전자 장비 및 부품,15238783307209,"130조 7,762억원",JPY
8031,MITSUI & CO.  LTD.,52202010,다각적 산업용 제품 도매,14784544198736,"126조 8,780억원",JPY
2914,JAPAN TOBACCO INC.,54102030,담배,13772000000000,"118조 1,885억원",JPY
