Symbol,Name,IndustryCode,Industry
NVDA,NVIDIA Corp,57101010,반도체
AAPL,Apple Inc,57106020,전화 및 소형 장치
MSFT,Microsoft Corporation,57201020,소프트웨어
AMZN,Amazon.com Inc,53402010,백화점
GOOGL,Alphabet Inc. Class A,57201030,온라인 서비스
AVGO,Broadcom Inc,57101010,반도체
SPCX,Space Exploration Technologies Corp,57401020,무선 통신 서비스
GOOG,Alphabet Inc. Class C,57201030,온라인 서비스
META,Meta Platforms  Inc.,57201030,온라인 서비스
TSLA,Tesla Inc,53101010,자동차 및 트럭 제조
SKHY,SK hynix Inc. ADR,57101010,반도체
MU,Micron Technology  Inc.,57101010,반도체
WMT,Walmart Inc,54301020,식품 소매 및 유통
AMD,Advanced Micro Devices  Inc.,57101010,반도체
ASML,ASML Holding N.V. ADR,57101020,반도체 장비 및 테스트
INTC,Intel Corp,57101010,반도체
CSCO,Cisco Systems Inc,57102010,통신 및 네트워킹
AMAT,Applied Materials Inc,57101020,반도체 장비 및 테스트
COST,Costco Wholesale Corp,53402020,할인점
PLTR,Palantir Technologies Inc.,57201020,소프트웨어
LRCX,Lam Research Corporation,57101020,반도체 장비 및 테스트
PANW,Palo Alto Networks  Inc.,57201020,소프트웨어
NFLX,Netflix  Inc.,57201030,온라인 서비스
ARM,ARM Holdings PLC ADR,57101010,반도체
KLAC,KLA Corporation,57101020,반도체 장비 및 테스트
TXN,Texas Instruments Inc,57101010,반도체
CRWD,CrowdStrike Holdings  Inc.,57201020,소프트웨어
AMGN,Amgen Inc,56201040,제약
LIN,Linde PLC,51101010,상품 화학
STX,Seagate Technology Holdings PLC,57106010,컴퓨터 하드웨어
SNDK,SanDisk Corporation,57106010,컴퓨터 하드웨어
SHOP,Shopify Inc.,57201030,온라인 서비스
MRVL,Marvell Technology  Inc.,57101010,반도체
TMUS,T-Mobile US Inc,57401020,무선 통신 서비스
PEP,PepsiCo Inc,54101030,무알콜 음료
ADI,Analog Devices  Inc.,57101010,반도체
